"key","label"
"    1","8"
"    2","0"
"    3","8"
"    4","4"
"    5","0"
"    6","2"
"    7","9"
"    8","0"
"    9","9"
"   10","9"
"   11","5"
"   12","9"
"   13","4"
"   14","2"
"   15","2"
"   16","0"
"   17","7"
"   18","7"
"   19","7"
"   20","7"
"   21","8"
"   22","7"
"   23","1"
"   24","0"
"   25","4"
"   26","3"
"   27","2"
"   28","3"
"   29","8"
"   30","5"
"   31","4"
"   32","5"
"   33","2"
"   34","0"
"   35","0"
"   36","9"
"   37","6"
"   38","0"
"   39","8"
"   40","5"
"   41","3"
"   42","7"
"   43","0"
"   44","9"
"   45","7"
"   46","0"
"   47","0"
"   48","1"
"   49","9"
"   50","5"
"   51","4"
"   52","0"
"   53","3"
"   54","3"
"   55","3"
"   56","5"
"   57","6"
"   58","0"
"   59","6"
"   60","9"
"   61","2"
"   62","1"
"   63","7"
"   64","1"
"   65","9"
"   66","7"
"   67","0"
"   68","7"
"   69","8"
"   70","0"
"   71","8"
"   72","2"
"   73","5"
"   74","0"
"   75","4"
"   76","3"
"   77","0"
"   78","5"
"   79","3"
"   80","1"
"   81","1"
"   82","2"
"   83","4"
"   84","8"
"   85","5"
"   86","8"
"   87","1"
"   88","8"
"   89","9"
"   90","8"
"   91","5"
"   92","8"
"   93","2"
"   94","6"
"   95","8"
"   96","6"
"   97","6"
"   98","6"
"   99","8"
"  100","4"
"  101","8"
"  102","5"
"  103","9"
"  104","3"
"  105","8"
"  106","0"
"  107","2"
"  108","5"
"  109","0"
"  110","4"
"  111","6"
"  112","0"
"  113","8"
"  114","3"
"  115","4"
"  116","0"
"  117","1"
"  118","3"
"  119","5"
"  120","9"
"  121","8"
"  122","0"
"  123","1"
"  124","6"
"  125","4"
"  126","3"
"  127","3"
"  128","8"
"  129","0"
"  130","9"
"  131","2"
"  132","8"
"  133","7"
"  134","7"
"  135","6"
"  136","2"
"  137","9"
"  138","6"
"  139","3"
"  140","4"
"  141","1"
"  142","8"
"  143","2"
"  144","8"
"  145","2"
"  146","5"
"  147","2"
"  148","8"
"  149","2"
"  150","9"
"  151","8"
"  152","6"
"  153","1"
"  154","7"
"  155","4"
"  156","4"
"  157","5"
"  158","7"
"  159","2"
"  160","8"
"  161","4"
"  162","9"
"  163","3"
"  164","1"
"  165","5"
"  166","7"
"  167","8"
"  168","2"
"  169","6"
"  170","1"
"  171","1"
"  172","4"
"  173","3"
"  174","0"
"  175","1"
"  176","5"
"  177","3"
"  178","5"
"  179","3"
"  180","2"
"  181","4"
"  182","3"
"  183","1"
"  184","3"
"  185","6"
"  186","3"
"  187","5"
"  188","2"
"  189","8"
"  190","1"
"  191","9"
"  192","0"
"  193","7"
"  194","4"
"  195","7"
"  196","4"
"  197","1"
"  198","9"
"  199","6"
"  200","7"
"  201","3"
"  202","8"
"  203","5"
"  204","5"
"  205","0"
"  206","8"
"  207","2"
"  208","2"
"  209","0"
"  210","8"
"  211","8"
"  212","5"
"  213","4"
"  214","2"
"  215","2"
"  216","6"
"  217","7"
"  218","0"
"  219","2"
"  220","4"
"  221","1"
"  222","2"
"  223","7"
"  224","9"
"  225","9"
"  226","3"
"  227","3"
"  228","2"
"  229","7"
"  230","7"
"  231","2"
"  232","2"
"  233","6"
"  234","3"
"  235","5"
"  236","5"
"  237","8"
"  238","0"
"  239","8"
"  240","6"
"  241","0"
"  242","6"
"  243","6"
"  244","3"
"  245","5"
"  246","2"
"  247","2"
"  248","1"
"  249","1"
"  250","2"
"  251","9"
"  252","8"
"  253","5"
"  254","1"
"  255","0"
"  256","9"
"  257","6"
"  258","3"
"  259","1"
"  260","9"
"  261","8"
"  262","3"
"  263","3"
"  264","2"
"  265","4"
"  266","1"
"  267","8"
"  268","1"
"  269","7"
"  270","3"
"  271","3"
"  272","0"
"  273","9"
"  274","0"
"  275","4"
"  276","0"
"  277","0"
"  278","2"
"  279","6"
"  280","2"
"  281","7"
"  282","4"
"  283","9"
"  284","6"
"  285","8"
"  286","4"
"  287","2"
"  288","4"
"  289","1"
"  290","9"
"  291","0"
"  292","4"
"  293","1"
"  294","6"
"  295","7"
"  296","0"
"  297","2"
"  298","2"
"  299","9"
"  300","9"
"  301","9"
"  302","7"
"  303","1"
"  304","4"
"  305","5"
"  306","5"
"  307","0"
"  308","1"
"  309","7"
"  310","1"
"  311","6"
"  312","7"
"  313","4"
"  314","8"
"  315","9"
"  316","7"
"  317","5"
"  318","4"
"  319","8"
"  320","2"
"  321","0"
"  322","9"
"  323","6"
"  324","3"
"  325","3"
"  326","4"
"  327","3"
"  328","6"
"  329","1"
"  330","4"
"  331","7"
"  332","9"
