"key","label"
"    1","9"
"    2","9"
"    3","9"
"    4","4"
"    5","4"
"    6","4"
"    7","9"
"    8","9"
"    9","9"
"   10","9"
"   11","9"
"   12","9"
"   13","4"
"   14","9"
"   15","4"
"   16","9"
"   17","9"
"   18","9"
"   19","9"
"   20","9"
"   21","9"
"   22","4"
"   23","4"
"   24","4"
"   25","4"
"   26","9"
"   27","4"
"   28","9"
"   29","9"
"   30","9"
"   31","4"
"   32","9"
"   33","4"
"   34","9"
"   35","9"
"   36","9"
"   37","4"
"   38","9"
"   39","9"
"   40","9"
"   41","9"
"   42","9"
"   43","4"
"   44","9"
"   45","9"
"   46","4"
"   47","9"
"   48","9"
"   49","9"
"   50","9"
"   51","4"
"   52","9"
"   53","9"
"   54","9"
"   55","9"
"   56","9"
"   57","4"
"   58","4"
"   59","4"
"   60","9"
"   61","9"
"   62","9"
"   63","9"
"   64","4"
"   65","9"
"   66","9"
"   67","9"
"   68","9"
"   69","9"
"   70","9"
"   71","9"
"   72","9"
"   73","9"
"   74","9"
"   75","4"
"   76","9"
"   77","9"
"   78","9"
"   79","9"
"   80","4"
"   81","4"
"   82","9"
"   83","4"
"   84","9"
"   85","4"
"   86","9"
"   87","4"
"   88","9"
"   89","9"
"   90","9"
"   91","4"
"   92","9"
"   93","4"
"   94","4"
"   95","9"
"   96","4"
"   97","4"
"   98","4"
"   99","4"
"  100","4"
"  101","9"
"  102","4"
"  103","9"
"  104","9"
"  105","4"
"  106","9"
"  107","9"
"  108","9"
"  109","9"
"  110","4"
"  111","4"
"  112","4"
"  113","9"
"  114","9"
"  115","4"
"  116","9"
"  117","4"
"  118","9"
"  119","9"
"  120","9"
"  121","4"
"  122","4"
"  123","4"
"  124","4"
"  125","4"
"  126","9"
"  127","9"
"  128","9"
"  129","9"
"  130","9"
"  131","9"
"  132","9"
"  133","9"
"  134","9"
"  135","4"
"  136","9"
"  137","9"
"  138","9"
"  139","9"
"  140","4"
"  141","4"
"  142","9"
"  143","4"
"  144","9"
"  145","4"
"  146","4"
"  147","9"
"  148","9"
"  149","4"
"  150","9"
"  151","9"
"  152","4"
"  153","9"
"  154","9"
"  155","9"
"  156","4"
"  157","4"
"  158","9"
"  159","9"
"  160","9"
"  161","4"
"  162","9"
"  163","9"
"  164","9"
"  165","9"
"  166","9"
"  167","9"
"  168","9"
"  169","4"
"  170","4"
"  171","4"
"  172","4"
"  173","9"
"  174","9"
"  175","4"
"  176","9"
"  177","9"
"  178","4"
"  179","9"
"  180","9"
"  181","4"
"  182","9"
"  183","4"
"  184","9"
"  185","4"
"  186","4"
"  187","9"
"  188","9"
"  189","4"
"  190","4"
"  191","9"
"  192","9"
"  193","9"
"  194","4"
"  195","9"
"  196","4"
"  197","4"
"  198","9"
"  199","9"
"  200","9"
"  201","9"
"  202","9"
"  203","9"
"  204","9"
"  205","9"
"  206","9"
"  207","9"
"  208","9"
"  209","9"
"  210","9"
"  211","9"
"  212","9"
"  213","4"
"  214","4"
"  215","9"
"  216","9"
"  217","9"
"  218","9"
"  219","4"
"  220","4"
"  221","9"
"  222","4"
"  223","9"
"  224","9"
"  225","9"
"  226","4"
"  227","9"
"  228","9"
"  229","9"
"  230","9"
"  231","4"
"  232","9"
"  233","4"
"  234","4"
"  235","4"
"  236","9"
"  237","9"
"  238","4"
"  239","9"
"  240","4"
"  241","9"
"  242","4"
"  243","4"
"  244","9"
"  245","4"
"  246","4"
"  247","9"
"  248","9"
"  249","4"
"  250","9"
"  251","9"
"  252","9"
"  253","9"
"  254","4"
"  255","4"
"  256","9"
"  257","4"
"  258","9"
"  259","4"
"  260","9"
"  261","9"
"  262","9"
"  263","9"
"  264","4"
"  265","4"
"  266","4"
"  267","9"
"  268","9"
"  269","9"
"  270","9"
"  271","9"
"  272","9"
"  273","9"
"  274","9"
"  275","4"
"  276","9"
"  277","9"
"  278","9"
"  279","4"
"  280","9"
"  281","9"
"  282","4"
"  283","9"
"  284","4"
"  285","9"
"  286","4"
"  287","9"
"  288","4"
"  289","9"
"  290","9"
"  291","9"
"  292","4"
"  293","9"
"  294","9"
"  295","9"
"  296","9"
"  297","4"
"  298","9"
"  299","9"
"  300","9"
"  301","9"
"  302","9"
"  303","9"
"  304","4"
"  305","4"
"  306","4"
"  307","9"
"  308","4"
"  309","9"
"  310","4"
"  311","4"
"  312","9"
"  313","4"
"  314","9"
"  315","9"
"  316","9"
"  317","9"
"  318","4"
"  319","9"
"  320","9"
"  321","9"
"  322","9"
"  323","9"
"  324","4"
"  325","9"
"  326","4"
"  327","9"
"  328","4"
"  329","9"
"  330","4"
"  331","9"
"  332","9"
"  333","9"
"  334","4"
"  335","4"
"  336","9"
"  337","9"
"  338","9"
"  339","9"
"  340","9"
"  341","4"
"  342","4"
"  343","9"
"  344","9"
"  345","9"
"  346","9"
"  347","9"
"  348","9"
"  349","4"
"  350","4"
"  351","4"
"  352","4"
"  353","9"
"  354","9"
"  355","9"
"  356","9"
"  357","4"
"  358","4"
